sub_id	onset	duration	trial_type	response_time	task_type	update_cond	cate_c	cate_b	cate_o	response_type	response	trial_id	run_id	word_id	img_id	stim_c	stim_b	design_onset	grate_orientation
17	2.014	3.000	no response	n/a	retrieval	restudy	scene	face	object	no response	no response	1	1	29	101	253	29	2.0	n/a
17	7.048	1.164	correct	1.164	grate	n/a	n/a	n/a	n/a	n/a	n/a	1	1	n/a	n/a	n/a	n/a	n/a	right
17	8.731	0.912	correct	0.912	grate	n/a	n/a	n/a	n/a	n/a	n/a	1	1	n/a	n/a	n/a	n/a	n/a	right
17	10.164	2.350	incorrect	2.350	grate	n/a	n/a	n/a	n/a	n/a	n/a	1	1	n/a	n/a	n/a	n/a	n/a	right
17	14.013	3.000	no response	n/a	retrieval	restudy	face	scene	object	no response	no response	2	1	101	29	77	205	14.0	n/a
17	19.047	0.677	correct	0.677	grate	n/a	n/a	n/a	n/a	n/a	n/a	2	1	n/a	n/a	n/a	n/a	n/a	right
17	20.246	0.397	correct	0.397	grate	n/a	n/a	n/a	n/a	n/a	n/a	2	1	n/a	n/a	n/a	n/a	n/a	right
17	21.163	0.400	correct	0.400	grate	n/a	n/a	n/a	n/a	n/a	n/a	2	1	n/a	n/a	n/a	n/a	n/a	right
17	22.079	0.435	correct	0.435	grate	n/a	n/a	n/a	n/a	n/a	n/a	2	1	n/a	n/a	n/a	n/a	n/a	right
17	23.029	0.565	correct	0.565	grate	n/a	n/a	n/a	n/a	n/a	n/a	2	1	n/a	n/a	n/a	n/a	n/a	left
17	24.113	0.400	incorrect	0.400	grate	n/a	n/a	n/a	n/a	n/a	n/a	2	1	n/a	n/a	n/a	n/a	n/a	right
17	26.011	3.000	no response	n/a	retrieval	restudy	scene	face	object	no response	no response	3	1	31	103	255	31	26.0	n/a
17	31.045	0.493	correct	0.493	grate	n/a	n/a	n/a	n/a	n/a	n/a	3	1	n/a	n/a	n/a	n/a	n/a	right
17	32.062	0.333	correct	0.333	grate	n/a	n/a	n/a	n/a	n/a	n/a	3	1	n/a	n/a	n/a	n/a	n/a	right
17	32.912	0.411	correct	0.411	grate	n/a	n/a	n/a	n/a	n/a	n/a	3	1	n/a	n/a	n/a	n/a	n/a	left
17	33.845	0.349	correct	0.349	grate	n/a	n/a	n/a	n/a	n/a	n/a	3	1	n/a	n/a	n/a	n/a	n/a	left
17	34.712	0.354	correct	0.354	grate	n/a	n/a	n/a	n/a	n/a	n/a	3	1	n/a	n/a	n/a	n/a	n/a	left
17	35.578	0.400	correct	0.400	grate	n/a	n/a	n/a	n/a	n/a	n/a	3	1	n/a	n/a	n/a	n/a	n/a	left
17	36.495	0.017	incorrect	0.017	grate	n/a	n/a	n/a	n/a	n/a	n/a	3	1	n/a	n/a	n/a	n/a	n/a	right
17	38.010	3.000	remember	0.483	retrieval	retprac	face	object	scene	target	face	4	1	54	6	54	106	38.0	n/a
17	43.044	0.518	correct	0.518	grate	n/a	n/a	n/a	n/a	n/a	n/a	4	1	n/a	n/a	n/a	n/a	n/a	right
17	44.077	0.373	correct	0.373	grate	n/a	n/a	n/a	n/a	n/a	n/a	4	1	n/a	n/a	n/a	n/a	n/a	left
17	44.977	0.361	correct	0.361	grate	n/a	n/a	n/a	n/a	n/a	n/a	4	1	n/a	n/a	n/a	n/a	n/a	right
17	45.860	0.317	correct	0.317	grate	n/a	n/a	n/a	n/a	n/a	n/a	4	1	n/a	n/a	n/a	n/a	n/a	left
17	46.694	0.332	incorrect	0.332	grate	n/a	n/a	n/a	n/a	n/a	n/a	4	1	n/a	n/a	n/a	n/a	n/a	left
17	47.544	0.514	correct	0.514	grate	n/a	n/a	n/a	n/a	n/a	n/a	4	1	n/a	n/a	n/a	n/a	n/a	right
17	48.577	0.100	incorrect	0.100	grate	n/a	n/a	n/a	n/a	n/a	n/a	4	1	n/a	n/a	n/a	n/a	n/a	left
17	50.009	3.000	forget	0.484	retrieval	restudy	scene	object	face	competitor	object	5	1	79	127	279	131	50.0	n/a
17	55.043	0.495	correct	0.495	grate	n/a	n/a	n/a	n/a	n/a	n/a	5	1	n/a	n/a	n/a	n/a	n/a	right
17	56.059	0.358	correct	0.358	grate	n/a	n/a	n/a	n/a	n/a	n/a	5	1	n/a	n/a	n/a	n/a	n/a	left
17	56.926	0.323	correct	0.323	grate	n/a	n/a	n/a	n/a	n/a	n/a	5	1	n/a	n/a	n/a	n/a	n/a	right
17	57.759	0.290	correct	0.290	grate	n/a	n/a	n/a	n/a	n/a	n/a	5	1	n/a	n/a	n/a	n/a	n/a	left
17	58.559	0.314	correct	0.314	grate	n/a	n/a	n/a	n/a	n/a	n/a	5	1	n/a	n/a	n/a	n/a	n/a	right
17	59.392	0.306	correct	0.306	grate	n/a	n/a	n/a	n/a	n/a	n/a	5	1	n/a	n/a	n/a	n/a	n/a	left
17	60.209	0.300	incorrect	0.300	grate	n/a	n/a	n/a	n/a	n/a	n/a	5	1	n/a	n/a	n/a	n/a	n/a	left
17	62.008	3.000	forget	0.773	retrieval	retprac	object	face	scene	competitor	face	6	1	6	54	154	6	62.0	n/a
17	67.042	0.551	correct	0.551	grate	n/a	n/a	n/a	n/a	n/a	n/a	6	1	n/a	n/a	n/a	n/a	n/a	left
17	68.108	0.333	correct	0.333	grate	n/a	n/a	n/a	n/a	n/a	n/a	6	1	n/a	n/a	n/a	n/a	n/a	right
17	68.958	0.443	correct	0.443	grate	n/a	n/a	n/a	n/a	n/a	n/a	6	1	n/a	n/a	n/a	n/a	n/a	right
17	69.908	0.405	correct	0.405	grate	n/a	n/a	n/a	n/a	n/a	n/a	6	1	n/a	n/a	n/a	n/a	n/a	right
17	70.825	0.344	correct	0.344	grate	n/a	n/a	n/a	n/a	n/a	n/a	6	1	n/a	n/a	n/a	n/a	n/a	left
17	71.691	0.309	correct	0.309	grate	n/a	n/a	n/a	n/a	n/a	n/a	6	1	n/a	n/a	n/a	n/a	n/a	right
17	72.524	0.100	incorrect	0.100	grate	n/a	n/a	n/a	n/a	n/a	n/a	6	1	n/a	n/a	n/a	n/a	n/a	left
17	74.007	3.000	forget	0.653	retrieval	retprac	scene	face	object	other	object	7	1	28	100	252	28	74.0	n/a
