sub_id	onset	duration	trial_type	response_time	task_type	update_cond	cate_c	cate_b	cate_o	response_type	response	trial_id	run_id	word_id	img_id	stim_c	stim_b	design_onset	grate_orientation
15	2.009	3.000	forget	0.630	retrieval	restudy	face	object	scene	other	scene	1	1	49	1	49	101	2.0	n/a
15	7.043	0.976	correct	0.976	grate	n/a	n/a	n/a	n/a	n/a	n/a	1	1	n/a	n/a	n/a	n/a	n/a	right
15	8.526	0.741	correct	0.741	grate	n/a	n/a	n/a	n/a	n/a	n/a	1	1	n/a	n/a	n/a	n/a	n/a	left
15	9.776	0.548	incorrect	0.548	grate	n/a	n/a	n/a	n/a	n/a	n/a	1	1	n/a	n/a	n/a	n/a	n/a	left
15	10.843	0.896	correct	0.896	grate	n/a	n/a	n/a	n/a	n/a	n/a	1	1	n/a	n/a	n/a	n/a	n/a	left
15	12.259	0.250	incorrect	0.250	grate	n/a	n/a	n/a	n/a	n/a	n/a	1	1	n/a	n/a	n/a	n/a	n/a	left
15	14.008	3.000	forget	0.615	retrieval	restudy	object	scene	face	other	face	2	1	125	77	177	229	14.0	n/a
15	19.042	1.073	correct	1.073	grate	n/a	n/a	n/a	n/a	n/a	n/a	2	1	n/a	n/a	n/a	n/a	n/a	left
15	20.642	0.425	correct	0.425	grate	n/a	n/a	n/a	n/a	n/a	n/a	2	1	n/a	n/a	n/a	n/a	n/a	right
15	21.575	0.436	correct	0.436	grate	n/a	n/a	n/a	n/a	n/a	n/a	2	1	n/a	n/a	n/a	n/a	n/a	left
15	22.525	0.431	correct	0.431	grate	n/a	n/a	n/a	n/a	n/a	n/a	2	1	n/a	n/a	n/a	n/a	n/a	right
15	23.475	0.425	correct	0.425	grate	n/a	n/a	n/a	n/a	n/a	n/a	2	1	n/a	n/a	n/a	n/a	n/a	left
15	24.408	0.100	incorrect	0.100	grate	n/a	n/a	n/a	n/a	n/a	n/a	2	1	n/a	n/a	n/a	n/a	n/a	left
15	26.007	3.000	don't know	0.768	retrieval	restudy	scene	face	object	don't know	don't know	3	1	25	97	249	25	26.0	n/a
15	31.041	0.562	correct	0.562	grate	n/a	n/a	n/a	n/a	n/a	n/a	3	1	n/a	n/a	n/a	n/a	n/a	left
15	32.124	0.462	correct	0.462	grate	n/a	n/a	n/a	n/a	n/a	n/a	3	1	n/a	n/a	n/a	n/a	n/a	left
15	33.107	0.375	correct	0.375	grate	n/a	n/a	n/a	n/a	n/a	n/a	3	1	n/a	n/a	n/a	n/a	n/a	right
15	33.990	0.364	correct	0.364	grate	n/a	n/a	n/a	n/a	n/a	n/a	3	1	n/a	n/a	n/a	n/a	n/a	left
15	34.874	0.385	correct	0.385	grate	n/a	n/a	n/a	n/a	n/a	n/a	3	1	n/a	n/a	n/a	n/a	n/a	left
15	35.774	0.413	correct	0.413	grate	n/a	n/a	n/a	n/a	n/a	n/a	3	1	n/a	n/a	n/a	n/a	n/a	left
15	36.707	0.100	incorrect	0.100	grate	n/a	n/a	n/a	n/a	n/a	n/a	3	1	n/a	n/a	n/a	n/a	n/a	right
15	38.006	3.000	remember	0.664	retrieval	retprac	face	scene	object	target	face	4	1	104	32	80	208	38.0	n/a
15	43.040	0.626	correct	0.626	grate	n/a	n/a	n/a	n/a	n/a	n/a	4	1	n/a	n/a	n/a	n/a	n/a	right
15	44.189	0.533	correct	0.533	grate	n/a	n/a	n/a	n/a	n/a	n/a	4	1	n/a	n/a	n/a	n/a	n/a	right
15	45.239	0.443	correct	0.443	grate	n/a	n/a	n/a	n/a	n/a	n/a	4	1	n/a	n/a	n/a	n/a	n/a	left
15	46.189	0.446	correct	0.446	grate	n/a	n/a	n/a	n/a	n/a	n/a	4	1	n/a	n/a	n/a	n/a	n/a	left
15	47.156	0.406	correct	0.406	grate	n/a	n/a	n/a	n/a	n/a	n/a	4	1	n/a	n/a	n/a	n/a	n/a	left
15	48.089	0.401	correct	0.401	grate	n/a	n/a	n/a	n/a	n/a	n/a	4	1	n/a	n/a	n/a	n/a	n/a	left
15	49.006	0.100	incorrect	0.100	grate	n/a	n/a	n/a	n/a	n/a	n/a	4	1	n/a	n/a	n/a	n/a	n/a	right
15	50.021	3.000	no response	n/a	retrieval	restudy	scene	face	object	no response	no response	5	1	31	103	255	31	50.0	n/a
15	55.055	0.634	correct	0.634	grate	n/a	n/a	n/a	n/a	n/a	n/a	5	1	n/a	n/a	n/a	n/a	n/a	right
15	56.205	0.476	correct	0.476	grate	n/a	n/a	n/a	n/a	n/a	n/a	5	1	n/a	n/a	n/a	n/a	n/a	right
15	57.205	0.573	incorrect	0.573	grate	n/a	n/a	n/a	n/a	n/a	n/a	5	1	n/a	n/a	n/a	n/a	n/a	left
15	58.288	0.561	correct	0.561	grate	n/a	n/a	n/a	n/a	n/a	n/a	5	1	n/a	n/a	n/a	n/a	n/a	right
15	59.371	0.622	correct	0.622	grate	n/a	n/a	n/a	n/a	n/a	n/a	5	1	n/a	n/a	n/a	n/a	n/a	left
15	60.504	0.017	incorrect	0.017	grate	n/a	n/a	n/a	n/a	n/a	n/a	5	1	n/a	n/a	n/a	n/a	n/a	left
15	62.020	3.000	no response	n/a	retrieval	retprac	scene	face	object	no response	no response	6	1	26	98	250	26	62.0	n/a
