sub_id	onset	duration	trial_type	response_time	task_type	update_cond	cate_c	cate_b	cate_o	response_type	response	trial_id	run_id	word_id	img_id	stim_c	stim_b	design_onset	grate_orientation
9	2.022	3.000	remember	0.761	retrieval	restudy	scene	face	object	target	scene	1	1	32	104	256	32	2.0	n/a
9	7.057	5.466	incorrect	5.466	grate	n/a	n/a	n/a	n/a	n/a	n/a	1	1	n/a	n/a	n/a	n/a	n/a	left
9	14.021	3.000	no response	n/a	retrieval	restudy	face	object	scene	no response	no response	2	1	56	8	56	108	14.0	n/a
9	19.055	1.629	correct	1.629	grate	n/a	n/a	n/a	n/a	n/a	n/a	2	1	n/a	n/a	n/a	n/a	n/a	left
9	21.205	1.214	correct	1.214	grate	n/a	n/a	n/a	n/a	n/a	n/a	2	1	n/a	n/a	n/a	n/a	n/a	left
9	22.938	0.745	correct	0.745	grate	n/a	n/a	n/a	n/a	n/a	n/a	2	1	n/a	n/a	n/a	n/a	n/a	left
9	24.205	0.317	incorrect	0.317	grate	n/a	n/a	n/a	n/a	n/a	n/a	2	1	n/a	n/a	n/a	n/a	n/a	right
9	26.021	3.000	forget	0.499	retrieval	restudy	object	scene	face	other	face	3	1	128	80	180	232	26.0	n/a
9	31.055	1.197	correct	1.197	grate	n/a	n/a	n/a	n/a	n/a	n/a	3	1	n/a	n/a	n/a	n/a	n/a	left
9	32.771	0.576	correct	0.576	grate	n/a	n/a	n/a	n/a	n/a	n/a	3	1	n/a	n/a	n/a	n/a	n/a	left
9	33.871	0.428	correct	0.428	grate	n/a	n/a	n/a	n/a	n/a	n/a	3	1	n/a	n/a	n/a	n/a	n/a	left
9	34.821	0.871	correct	0.871	grate	n/a	n/a	n/a	n/a	n/a	n/a	3	1	n/a	n/a	n/a	n/a	n/a	right
9	36.204	0.316	incorrect	0.316	grate	n/a	n/a	n/a	n/a	n/a	n/a	3	1	n/a	n/a	n/a	n/a	n/a	left
9	38.020	3.000	remember	0.323	retrieval	retprac	face	scene	object	target	face	4	1	97	25	73	201	38.0	n/a
9	43.054	0.974	correct	0.974	grate	n/a	n/a	n/a	n/a	n/a	n/a	4	1	n/a	n/a	n/a	n/a	n/a	right
9	44.537	0.499	correct	0.499	grate	n/a	n/a	n/a	n/a	n/a	n/a	4	1	n/a	n/a	n/a	n/a	n/a	left
9	45.554	0.442	correct	0.442	grate	n/a	n/a	n/a	n/a	n/a	n/a	4	1	n/a	n/a	n/a	n/a	n/a	left
9	46.503	0.557	correct	0.557	grate	n/a	n/a	n/a	n/a	n/a	n/a	4	1	n/a	n/a	n/a	n/a	n/a	left
9	47.570	0.489	correct	0.489	grate	n/a	n/a	n/a	n/a	n/a	n/a	4	1	n/a	n/a	n/a	n/a	n/a	left
9	48.570	0.100	incorrect	0.100	grate	n/a	n/a	n/a	n/a	n/a	n/a	4	1	n/a	n/a	n/a	n/a	n/a	right
9	50.019	3.000	remember	0.340	retrieval	restudy	scene	object	face	target	scene	5	1	76	124	276	128	50.0	n/a
9	55.053	0.814	correct	0.814	grate	n/a	n/a	n/a	n/a	n/a	n/a	5	1	n/a	n/a	n/a	n/a	n/a	left
9	56.386	0.505	correct	0.505	grate	n/a	n/a	n/a	n/a	n/a	n/a	5	1	n/a	n/a	n/a	n/a	n/a	right
9	57.403	0.362	correct	0.362	grate	n/a	n/a	n/a	n/a	n/a	n/a	5	1	n/a	n/a	n/a	n/a	n/a	left
9	58.286	0.398	correct	0.398	grate	n/a	n/a	n/a	n/a	n/a	n/a	5	1	n/a	n/a	n/a	n/a	n/a	right
9	59.203	0.577	correct	0.577	grate	n/a	n/a	n/a	n/a	n/a	n/a	5	1	n/a	n/a	n/a	n/a	n/a	right
9	60.303	0.216	incorrect	0.216	grate	n/a	n/a	n/a	n/a	n/a	n/a	5	1	n/a	n/a	n/a	n/a	n/a	left
9	62.018	3.000	forget	0.333	retrieval	retprac	face	scene	object	competitor	scene	6	1	99	27	75	203	62.0	n/a
9	67.052	0.511	correct	0.511	grate	n/a	n/a	n/a	n/a	n/a	n/a	6	1	n/a	n/a	n/a	n/a	n/a	left
9	68.085	0.606	correct	0.606	grate	n/a	n/a	n/a	n/a	n/a	n/a	6	1	n/a	n/a	n/a	n/a	n/a	left
9	69.202	0.465	correct	0.465	grate	n/a	n/a	n/a	n/a	n/a	n/a	6	1	n/a	n/a	n/a	n/a	n/a	left
9	70.185	0.362	correct	0.362	grate	n/a	n/a	n/a	n/a	n/a	n/a	6	1	n/a	n/a	n/a	n/a	n/a	left
9	71.068	0.360	incorrect	0.360	grate	n/a	n/a	n/a	n/a	n/a	n/a	6	1	n/a	n/a	n/a	n/a	n/a	right
9	71.952	0.566	incorrect	0.566	grate	n/a	n/a	n/a	n/a	n/a	n/a	6	1	n/a	n/a	n/a	n/a	n/a	right
9	74.017	3.000	remember	0.389	retrieval	retprac	scene	object	face	target	scene	7	1	75	123	275	127	74.0	n/a
9	79.051	0.769	correct	0.769	grate	n/a	n/a	n/a	n/a	n/a	n/a	7	1	n/a	n/a	n/a	n/a	n/a	right
9	80.334	0.428	correct	0.428	grate	n/a	n/a	n/a	n/a	n/a	n/a	7	1	n/a	n/a	n/a	n/a	n/a	left
9	81.284	0.414	correct	0.414	grate	n/a	n/a	n/a	n/a	n/a	n/a	7	1	n/a	n/a	n/a	n/a	n/a	left
9	82.218	0.594	correct	0.594	grate	n/a	n/a	n/a	n/a	n/a	n/a	7	1	n/a	n/a	n/a	n/a	n/a	right
9	83.334	0.397	correct	0.397	grate	n/a	n/a	n/a	n/a	n/a	n/a	7	1	n/a	n/a	n/a	n/a	n/a	left
9	84.251	0.266	incorrect	0.266	grate	n/a	n/a	n/a	n/a	n/a	n/a	7	1	n/a	n/a	n/a	n/a	n/a	right
9	86.016	3.000	remember	0.415	retrieval	retprac	face	object	scene	target	face	8	1	49	1	49	101	86.0	n/a
9	91.051	0.418	correct	0.418	grate	n/a	n/a	n/a	n/a	n/a	n/a	8	1	n/a	n/a	n/a	n/a	n/a	left
9	91.984	0.436	correct	0.436	grate	n/a	n/a	n/a	n/a	n/a	n/a	8	1	n/a	n/a	n/a	n/a	n/a	left
9	92.934	0.389	correct	0.389	grate	n/a	n/a	n/a	n/a	n/a	n/a	8	1	n/a	n/a	n/a	n/a	n/a	left
9	93.833	0.513	correct	0.513	grate	n/a	n/a	n/a	n/a	n/a	n/a	8	1	n/a	n/a	n/a	n/a	n/a	left
9	94.867	0.408	correct	0.408	grate	n/a	n/a	n/a	n/a	n/a	n/a	8	1	n/a	n/a	n/a	n/a	n/a	left
9	95.783	0.436	correct	0.436	grate	n/a	n/a	n/a	n/a	n/a	n/a	8	1	n/a	n/a	n/a	n/a	n/a	left
9	96.733	0.100	incorrect	0.100	grate	n/a	n/a	n/a	n/a	n/a	n/a	8	1	n/a	n/a	n/a	n/a	n/a	right
9	98.016	3.000	remember	0.287	retrieval	restudy	scene	face	object	target	scene	9	1	28	100	252	28	98.0	n/a
9	103.050	0.481	correct	0.481	grate	n/a	n/a	n/a	n/a	n/a	n/a	9	1	n/a	n/a	n/a	n/a	n/a	left
