sub_id	onset	duration	trial_type	response_time	task_type	update_cond	cate_c	cate_b	cate_o	response_type	response	trial_id	run_id	word_id	img_id	stim_c	stim_b	design_onset	grate_orientation
12	2.015	3.000	forget	0.777	retrieval	restudy	scene	object	face	competitor	object	1	1	78	126	278	130	2.0	n/a
12	7.050	2.650	correct	2.650	grate	n/a	n/a	n/a	n/a	n/a	n/a	1	1	n/a	n/a	n/a	n/a	n/a	right
12	10.217	1.012	correct	1.012	grate	n/a	n/a	n/a	n/a	n/a	n/a	1	1	n/a	n/a	n/a	n/a	n/a	left
12	11.749	0.688	correct	0.688	grate	n/a	n/a	n/a	n/a	n/a	n/a	1	1	n/a	n/a	n/a	n/a	n/a	right
12	12.949	0.100	incorrect	0.100	grate	n/a	n/a	n/a	n/a	n/a	n/a	1	1	n/a	n/a	n/a	n/a	n/a	right
12	14.014	3.000	remember	0.394	retrieval	restudy	face	scene	object	target	face	2	1	100	28	76	204	14.0	n/a
12	19.048	0.756	correct	0.756	grate	n/a	n/a	n/a	n/a	n/a	n/a	2	1	n/a	n/a	n/a	n/a	n/a	left
12	20.315	0.673	correct	0.673	grate	n/a	n/a	n/a	n/a	n/a	n/a	2	1	n/a	n/a	n/a	n/a	n/a	left
12	21.498	0.667	correct	0.667	grate	n/a	n/a	n/a	n/a	n/a	n/a	2	1	n/a	n/a	n/a	n/a	n/a	left
12	22.681	0.635	correct	0.635	grate	n/a	n/a	n/a	n/a	n/a	n/a	2	1	n/a	n/a	n/a	n/a	n/a	left
12	23.831	0.683	incorrect	0.683	grate	n/a	n/a	n/a	n/a	n/a	n/a	2	1	n/a	n/a	n/a	n/a	n/a	right
12	26.013	3.000	forget	0.723	retrieval	restudy	scene	face	object	other	object	3	1	28	100	252	28	26.0	n/a
12	31.047	0.765	correct	0.765	grate	n/a	n/a	n/a	n/a	n/a	n/a	3	1	n/a	n/a	n/a	n/a	n/a	left
12	32.330	1.018	correct	1.018	grate	n/a	n/a	n/a	n/a	n/a	n/a	3	1	n/a	n/a	n/a	n/a	n/a	right
12	33.863	0.758	correct	0.758	grate	n/a	n/a	n/a	n/a	n/a	n/a	3	1	n/a	n/a	n/a	n/a	n/a	right
12	35.130	0.650	correct	0.650	grate	n/a	n/a	n/a	n/a	n/a	n/a	3	1	n/a	n/a	n/a	n/a	n/a	right
12	36.296	0.217	incorrect	0.217	grate	n/a	n/a	n/a	n/a	n/a	n/a	3	1	n/a	n/a	n/a	n/a	n/a	right
12	38.012	3.000	no response	n/a	retrieval	retprac	object	scene	face	no response	no response	4	1	123	75	175	227	38.0	n/a
12	43.046	0.975	correct	0.975	grate	n/a	n/a	n/a	n/a	n/a	n/a	4	1	n/a	n/a	n/a	n/a	n/a	left
12	44.529	0.923	correct	0.923	grate	n/a	n/a	n/a	n/a	n/a	n/a	4	1	n/a	n/a	n/a	n/a	n/a	right
12	45.962	0.609	correct	0.609	grate	n/a	n/a	n/a	n/a	n/a	n/a	4	1	n/a	n/a	n/a	n/a	n/a	right
12	47.095	0.604	correct	0.604	grate	n/a	n/a	n/a	n/a	n/a	n/a	4	1	n/a	n/a	n/a	n/a	n/a	left
12	48.212	0.300	incorrect	0.300	grate	n/a	n/a	n/a	n/a	n/a	n/a	4	1	n/a	n/a	n/a	n/a	n/a	left
12	50.011	3.000	remember	0.484	retrieval	restudy	scene	face	object	target	scene	5	1	26	98	250	26	50.0	n/a
12	55.045	0.918	correct	0.918	grate	n/a	n/a	n/a	n/a	n/a	n/a	5	1	n/a	n/a	n/a	n/a	n/a	left
12	56.478	0.870	correct	0.870	grate	n/a	n/a	n/a	n/a	n/a	n/a	5	1	n/a	n/a	n/a	n/a	n/a	right
12	57.861	0.710	correct	0.710	grate	n/a	n/a	n/a	n/a	n/a	n/a	5	1	n/a	n/a	n/a	n/a	n/a	left
12	59.094	0.725	correct	0.725	grate	n/a	n/a	n/a	n/a	n/a	n/a	5	1	n/a	n/a	n/a	n/a	n/a	right
12	60.327	0.183	incorrect	0.183	grate	n/a	n/a	n/a	n/a	n/a	n/a	5	1	n/a	n/a	n/a	n/a	n/a	left
12	62.009	3.000	remember	0.613	retrieval	retprac	face	object	scene	target	face	6	1	51	3	51	103	62.0	n/a
12	67.043	0.727	correct	0.727	grate	n/a	n/a	n/a	n/a	n/a	n/a	6	1	n/a	n/a	n/a	n/a	n/a	left
12	68.293	0.629	correct	0.629	grate	n/a	n/a	n/a	n/a	n/a	n/a	6	1	n/a	n/a	n/a	n/a	n/a	left
12	69.443	0.712	correct	0.712	grate	n/a	n/a	n/a	n/a	n/a	n/a	6	1	n/a	n/a	n/a	n/a	n/a	right
12	70.676	0.639	correct	0.639	grate	n/a	n/a	n/a	n/a	n/a	n/a	6	1	n/a	n/a	n/a	n/a	n/a	right
12	71.826	0.683	incorrect	0.683	grate	n/a	n/a	n/a	n/a	n/a	n/a	6	1	n/a	n/a	n/a	n/a	n/a	left
12	74.008	3.000	no response	n/a	retrieval	retprac	object	scene	face	no response	no response	7	1	125	77	177	229	74.0	n/a
12	79.042	1.288	correct	1.288	grate	n/a	n/a	n/a	n/a	n/a	n/a	7	1	n/a	n/a	n/a	n/a	n/a	left
12	80.842	0.792	correct	0.792	grate	n/a	n/a	n/a	n/a	n/a	n/a	7	1	n/a	n/a	n/a	n/a	n/a	right
