sub_id	onset	duration	trial_type	response_time	task_type	update_cond	cate_c	cate_b	cate_o	response_type	response	trial_id	run_id	word_id	img_id	stim_c	stim_b	design_onset	grate_orientation
18	2.010	3.000	remember	0.309	retrieval	restudy	object	scene	face	target	object	1	1	128	80	180	232	2.0	n/a
18	7.044	0.569	correct	0.569	grate	n/a	n/a	n/a	n/a	n/a	n/a	1	1	n/a	n/a	n/a	n/a	n/a	left
18	8.127	0.324	correct	0.324	grate	n/a	n/a	n/a	n/a	n/a	n/a	1	1	n/a	n/a	n/a	n/a	n/a	right
18	8.960	0.412	correct	0.412	grate	n/a	n/a	n/a	n/a	n/a	n/a	1	1	n/a	n/a	n/a	n/a	n/a	right
18	9.893	0.414	correct	0.414	grate	n/a	n/a	n/a	n/a	n/a	n/a	1	1	n/a	n/a	n/a	n/a	n/a	right
18	10.827	0.377	correct	0.377	grate	n/a	n/a	n/a	n/a	n/a	n/a	1	1	n/a	n/a	n/a	n/a	n/a	right
18	11.726	0.341	correct	0.341	grate	n/a	n/a	n/a	n/a	n/a	n/a	1	1	n/a	n/a	n/a	n/a	n/a	right
18	12.576	0.100	incorrect	0.100	grate	n/a	n/a	n/a	n/a	n/a	n/a	1	1	n/a	n/a	n/a	n/a	n/a	left
18	14.009	3.000	forget	0.374	retrieval	restudy	object	face	scene	competitor	face	2	1	6	54	154	6	14.0	n/a
18	19.043	0.560	correct	0.560	grate	n/a	n/a	n/a	n/a	n/a	n/a	2	1	n/a	n/a	n/a	n/a	n/a	right
18	20.126	0.461	correct	0.461	grate	n/a	n/a	n/a	n/a	n/a	n/a	2	1	n/a	n/a	n/a	n/a	n/a	left
18	21.109	0.406	correct	0.406	grate	n/a	n/a	n/a	n/a	n/a	n/a	2	1	n/a	n/a	n/a	n/a	n/a	left
18	22.025	0.298	incorrect	0.298	grate	n/a	n/a	n/a	n/a	n/a	n/a	2	1	n/a	n/a	n/a	n/a	n/a	right
18	22.842	0.593	correct	0.593	grate	n/a	n/a	n/a	n/a	n/a	n/a	2	1	n/a	n/a	n/a	n/a	n/a	right
18	23.942	0.389	correct	0.389	grate	n/a	n/a	n/a	n/a	n/a	n/a	2	1	n/a	n/a	n/a	n/a	n/a	right
18	24.842	0.100	incorrect	0.100	grate	n/a	n/a	n/a	n/a	n/a	n/a	2	1	n/a	n/a	n/a	n/a	n/a	right
18	26.024	3.000	remember	0.526	retrieval	restudy	scene	face	object	target	scene	3	1	32	104	256	32	26.0	n/a
18	31.058	0.505	correct	0.505	grate	n/a	n/a	n/a	n/a	n/a	n/a	3	1	n/a	n/a	n/a	n/a	n/a	right
18	32.074	0.360	correct	0.360	grate	n/a	n/a	n/a	n/a	n/a	n/a	3	1	n/a	n/a	n/a	n/a	n/a	right
18	32.958	0.445	correct	0.445	grate	n/a	n/a	n/a	n/a	n/a	n/a	3	1	n/a	n/a	n/a	n/a	n/a	left
18	33.924	0.518	correct	0.518	grate	n/a	n/a	n/a	n/a	n/a	n/a	3	1	n/a	n/a	n/a	n/a	n/a	right
18	34.957	0.389	incorrect	0.389	grate	n/a	n/a	n/a	n/a	n/a	n/a	3	1	n/a	n/a	n/a	n/a	n/a	right
18	35.857	0.473	correct	0.473	grate	n/a	n/a	n/a	n/a	n/a	n/a	3	1	n/a	n/a	n/a	n/a	n/a	right
18	36.841	0.100	incorrect	0.100	grate	n/a	n/a	n/a	n/a	n/a	n/a	3	1	n/a	n/a	n/a	n/a	n/a	right
18	38.006	3.000	forget	0.639	retrieval	retprac	face	object	scene	competitor	object	4	1	55	7	55	107	38.0	n/a
