sub_id	onset	duration	trial_type	response_time	task_type	update_cond	cate_c	cate_b	cate_o	response_type	response	trial_id	run_id	word_id	img_id	stim_c	stim_b	design_onset	grate_orientation
13	2.021	3.000	forget	0.555	retrieval	restudy	scene	object	face	competitor	object	1	1	76	124	276	128	2.0	n/a
13	7.055	1.165	correct	1.165	grate	n/a	n/a	n/a	n/a	n/a	n/a	1	1	n/a	n/a	n/a	n/a	n/a	right
13	8.738	0.866	correct	0.866	grate	n/a	n/a	n/a	n/a	n/a	n/a	1	1	n/a	n/a	n/a	n/a	n/a	left
13	10.121	0.690	correct	0.690	grate	n/a	n/a	n/a	n/a	n/a	n/a	1	1	n/a	n/a	n/a	n/a	n/a	left
13	11.321	0.555	correct	0.555	grate	n/a	n/a	n/a	n/a	n/a	n/a	1	1	n/a	n/a	n/a	n/a	n/a	right
13	12.387	0.133	incorrect	0.133	grate	n/a	n/a	n/a	n/a	n/a	n/a	1	1	n/a	n/a	n/a	n/a	n/a	left
13	14.019	3.000	remember	0.459	retrieval	restudy	object	scene	face	target	object	2	1	126	78	178	230	14.0	n/a
13	19.053	0.822	correct	0.822	grate	n/a	n/a	n/a	n/a	n/a	n/a	2	1	n/a	n/a	n/a	n/a	n/a	left
13	20.386	0.625	correct	0.625	grate	n/a	n/a	n/a	n/a	n/a	n/a	2	1	n/a	n/a	n/a	n/a	n/a	right
13	21.520	0.475	correct	0.475	grate	n/a	n/a	n/a	n/a	n/a	n/a	2	1	n/a	n/a	n/a	n/a	n/a	right
13	22.520	0.659	correct	0.659	grate	n/a	n/a	n/a	n/a	n/a	n/a	2	1	n/a	n/a	n/a	n/a	n/a	right
13	23.703	0.588	correct	0.588	grate	n/a	n/a	n/a	n/a	n/a	n/a	2	1	n/a	n/a	n/a	n/a	n/a	left
13	24.802	0.100	incorrect	0.100	grate	n/a	n/a	n/a	n/a	n/a	n/a	2	1	n/a	n/a	n/a	n/a	n/a	right
13	26.018	3.000	no response	n/a	retrieval	restudy	face	object	scene	no response	no response	3	1	50	2	50	102	26.0	n/a
13	31.052	1.072	correct	1.072	grate	n/a	n/a	n/a	n/a	n/a	n/a	3	1	n/a	n/a	n/a	n/a	n/a	left
13	32.635	0.503	correct	0.503	grate	n/a	n/a	n/a	n/a	n/a	n/a	3	1	n/a	n/a	n/a	n/a	n/a	left
13	33.652	0.495	correct	0.495	grate	n/a	n/a	n/a	n/a	n/a	n/a	3	1	n/a	n/a	n/a	n/a	n/a	right
13	34.668	0.374	correct	0.374	grate	n/a	n/a	n/a	n/a	n/a	n/a	3	1	n/a	n/a	n/a	n/a	n/a	right
13	35.551	0.379	incorrect	0.379	grate	n/a	n/a	n/a	n/a	n/a	n/a	3	1	n/a	n/a	n/a	n/a	n/a	left
13	36.451	0.067	incorrect	0.067	grate	n/a	n/a	n/a	n/a	n/a	n/a	3	1	n/a	n/a	n/a	n/a	n/a	left
13	38.017	3.000	remember	0.317	retrieval	retprac	object	face	scene	target	object	4	1	3	51	151	3	38.0	n/a
13	43.051	0.615	correct	0.615	grate	n/a	n/a	n/a	n/a	n/a	n/a	4	1	n/a	n/a	n/a	n/a	n/a	right
13	44.184	0.474	correct	0.474	grate	n/a	n/a	n/a	n/a	n/a	n/a	4	1	n/a	n/a	n/a	n/a	n/a	right
13	45.167	0.395	correct	0.395	grate	n/a	n/a	n/a	n/a	n/a	n/a	4	1	n/a	n/a	n/a	n/a	n/a	right
13	46.084	0.566	correct	0.566	grate	n/a	n/a	n/a	n/a	n/a	n/a	4	1	n/a	n/a	n/a	n/a	n/a	left
13	47.167	0.547	correct	0.547	grate	n/a	n/a	n/a	n/a	n/a	n/a	4	1	n/a	n/a	n/a	n/a	n/a	left
13	48.233	0.284	incorrect	0.284	grate	n/a	n/a	n/a	n/a	n/a	n/a	4	1	n/a	n/a	n/a	n/a	n/a	right
13	50.016	3.000	remember	0.437	retrieval	restudy	scene	object	face	target	scene	5	1	78	126	278	130	50.0	n/a
13	55.050	0.433	correct	0.433	grate	n/a	n/a	n/a	n/a	n/a	n/a	5	1	n/a	n/a	n/a	n/a	n/a	right
13	55.999	0.410	correct	0.410	grate	n/a	n/a	n/a	n/a	n/a	n/a	5	1	n/a	n/a	n/a	n/a	n/a	right
13	56.933	0.526	correct	0.526	grate	n/a	n/a	n/a	n/a	n/a	n/a	5	1	n/a	n/a	n/a	n/a	n/a	left
13	57.983	0.443	correct	0.443	grate	n/a	n/a	n/a	n/a	n/a	n/a	5	1	n/a	n/a	n/a	n/a	n/a	left
13	58.949	0.500	correct	0.500	grate	n/a	n/a	n/a	n/a	n/a	n/a	5	1	n/a	n/a	n/a	n/a	n/a	left
13	59.966	0.459	correct	0.459	grate	n/a	n/a	n/a	n/a	n/a	n/a	5	1	n/a	n/a	n/a	n/a	n/a	left
13	60.932	0.100	incorrect	0.100	grate	n/a	n/a	n/a	n/a	n/a	n/a	5	1	n/a	n/a	n/a	n/a	n/a	right
13	62.014	3.000	remember	0.326	retrieval	retprac	face	scene	object	target	face	6	1	97	25	73	201	62.0	n/a
13	67.048	0.489	correct	0.489	grate	n/a	n/a	n/a	n/a	n/a	n/a	6	1	n/a	n/a	n/a	n/a	n/a	left
13	68.048	0.553	correct	0.553	grate	n/a	n/a	n/a	n/a	n/a	n/a	6	1	n/a	n/a	n/a	n/a	n/a	left
13	69.115	0.398	correct	0.398	grate	n/a	n/a	n/a	n/a	n/a	n/a	6	1	n/a	n/a	n/a	n/a	n/a	left
13	70.031	0.474	correct	0.474	grate	n/a	n/a	n/a	n/a	n/a	n/a	6	1	n/a	n/a	n/a	n/a	n/a	left
13	71.014	0.522	correct	0.522	grate	n/a	n/a	n/a	n/a	n/a	n/a	6	1	n/a	n/a	n/a	n/a	n/a	right
13	72.048	0.467	incorrect	0.467	grate	n/a	n/a	n/a	n/a	n/a	n/a	6	1	n/a	n/a	n/a	n/a	n/a	left
13	74.013	3.000	remember	0.327	retrieval	retprac	face	object	scene	target	face	7	1	49	1	49	101	74.0	n/a
13	79.047	0.617	correct	0.617	grate	n/a	n/a	n/a	n/a	n/a	n/a	7	1	n/a	n/a	n/a	n/a	n/a	right
13	80.180	0.596	correct	0.596	grate	n/a	n/a	n/a	n/a	n/a	n/a	7	1	n/a	n/a	n/a	n/a	n/a	left
13	81.297	1.472	correct	1.472	grate	n/a	n/a	n/a	n/a	n/a	n/a	7	1	n/a	n/a	n/a	n/a	n/a	left
13	83.280	0.448	correct	0.448	grate	n/a	n/a	n/a	n/a	n/a	n/a	7	1	n/a	n/a	n/a	n/a	n/a	right
13	84.247	0.267	incorrect	0.267	grate	n/a	n/a	n/a	n/a	n/a	n/a	7	1	n/a	n/a	n/a	n/a	n/a	left
13	86.012	3.000	forget	0.328	retrieval	retprac	object	scene	face	competitor	scene	8	1	127	79	179	231	86.0	n/a
13	91.046	0.722	correct	0.722	grate	n/a	n/a	n/a	n/a	n/a	n/a	8	1	n/a	n/a	n/a	n/a	n/a	right
13	92.279	0.521	correct	0.521	grate	n/a	n/a	n/a	n/a	n/a	n/a	8	1	n/a	n/a	n/a	n/a	n/a	left
13	93.312	0.583	correct	0.583	grate	n/a	n/a	n/a	n/a	n/a	n/a	8	1	n/a	n/a	n/a	n/a	n/a	right
13	94.412	0.364	incorrect	0.364	grate	n/a	n/a	n/a	n/a	n/a	n/a	8	1	n/a	n/a	n/a	n/a	n/a	right
13	95.295	0.544	correct	0.544	grate	n/a	n/a	n/a	n/a	n/a	n/a	8	1	n/a	n/a	n/a	n/a	n/a	left
13	96.362	0.150	incorrect	0.150	grate	n/a	n/a	n/a	n/a	n/a	n/a	8	1	n/a	n/a	n/a	n/a	n/a	left
13	98.011	3.000	forget	0.386	retrieval	restudy	scene	face	object	competitor	face	9	1	28	100	252	28	98.0	n/a
13	103.045	0.571	correct	0.571	grate	n/a	n/a	n/a	n/a	n/a	n/a	9	1	n/a	n/a	n/a	n/a	n/a	right
13	104.128	0.495	correct	0.495	grate	n/a	n/a	n/a	n/a	n/a	n/a	9	1	n/a	n/a	n/a	n/a	n/a	right
13	105.144	0.407	correct	0.407	grate	n/a	n/a	n/a	n/a	n/a	n/a	9	1	n/a	n/a	n/a	n/a	n/a	right
13	106.061	0.546	correct	0.546	grate	n/a	n/a	n/a	n/a	n/a	n/a	9	1	n/a	n/a	n/a	n/a	n/a	right
13	107.128	0.632	correct	0.632	grate	n/a	n/a	n/a	n/a	n/a	n/a	9	1	n/a	n/a	n/a	n/a	n/a	left
13	108.277	0.233	incorrect	0.233	grate	n/a	n/a	n/a	n/a	n/a	n/a	9	1	n/a	n/a	n/a	n/a	n/a	right
13	110.010	3.000	no response	n/a	retrieval	retprac	object	face	scene	no response	no response	10	1	7	55	155	7	110.0	n/a
13	115.043	0.708	correct	0.708	grate	n/a	n/a	n/a	n/a	n/a	n/a	10	1	n/a	n/a	n/a	n/a	n/a	right
13	116.260	0.427	correct	0.427	grate	n/a	n/a	n/a	n/a	n/a	n/a	10	1	n/a	n/a	n/a	n/a	n/a	right
13	117.210	0.373	correct	0.373	grate	n/a	n/a	n/a	n/a	n/a	n/a	10	1	n/a	n/a	n/a	n/a	n/a	right
13	118.093	0.402	correct	0.402	grate	n/a	n/a	n/a	n/a	n/a	n/a	10	1	n/a	n/a	n/a	n/a	n/a	right
13	119.009	0.549	correct	0.549	grate	n/a	n/a	n/a	n/a	n/a	n/a	10	1	n/a	n/a	n/a	n/a	n/a	left
13	120.076	0.433	incorrect	0.433	grate	n/a	n/a	n/a	n/a	n/a	n/a	10	1	n/a	n/a	n/a	n/a	n/a	left
13	122.008	3.000	remember	0.282	retrieval	restudy	scene	object	face	target	scene	11	1	74	122	274	126	122.0	n/a
13	127.043	0.468	correct	0.468	grate	n/a	n/a	n/a	n/a	n/a	n/a	11	1	n/a	n/a	n/a	n/a	n/a	left
13	128.025	0.510	correct	0.510	grate	n/a	n/a	n/a	n/a	n/a	n/a	11	1	n/a	n/a	n/a	n/a	n/a	right
13	129.059	0.356	correct	0.356	grate	n/a	n/a	n/a	n/a	n/a	n/a	11	1	n/a	n/a	n/a	n/a	n/a	left
13	129.925	0.409	correct	0.409	grate	n/a	n/a	n/a	n/a	n/a	n/a	11	1	n/a	n/a	n/a	n/a	n/a	right
13	130.842	0.485	correct	0.485	grate	n/a	n/a	n/a	n/a	n/a	n/a	11	1	n/a	n/a	n/a	n/a	n/a	right
13	131.842	0.501	correct	0.501	grate	n/a	n/a	n/a	n/a	n/a	n/a	11	1	n/a	n/a	n/a	n/a	n/a	left
13	132.858	0.100	incorrect	0.100	grate	n/a	n/a	n/a	n/a	n/a	n/a	11	1	n/a	n/a	n/a	n/a	n/a	right
13	134.007	3.000	remember	0.667	retrieval	restudy	face	object	scene	target	face	12	1	54	6	54	106	134.0	n/a
13	139.041	0.493	correct	0.493	grate	n/a	n/a	n/a	n/a	n/a	n/a	12	1	n/a	n/a	n/a	n/a	n/a	right
13	140.041	0.373	correct	0.373	grate	n/a	n/a	n/a	n/a	n/a	n/a	12	1	n/a	n/a	n/a	n/a	n/a	right
13	140.924	0.394	correct	0.394	grate	n/a	n/a	n/a	n/a	n/a	n/a	12	1	n/a	n/a	n/a	n/a	n/a	right
13	141.841	0.557	correct	0.557	grate	n/a	n/a	n/a	n/a	n/a	n/a	12	1	n/a	n/a	n/a	n/a	n/a	left
13	142.907	0.418	correct	0.418	grate	n/a	n/a	n/a	n/a	n/a	n/a	12	1	n/a	n/a	n/a	n/a	n/a	right
13	143.840	0.341	correct	0.341	grate	n/a	n/a	n/a	n/a	n/a	n/a	12	1	n/a	n/a	n/a	n/a	n/a	left
13	144.690	0.100	incorrect	0.100	grate	n/a	n/a	n/a	n/a	n/a	n/a	12	1	n/a	n/a	n/a	n/a	n/a	right
13	146.006	3.000	no response	n/a	retrieval	retprac	object	face	scene	no response	no response	13	1	5	53	153	5	146.0	n/a
13	151.040	0.501	correct	0.501	grate	n/a	n/a	n/a	n/a	n/a	n/a	13	1	n/a	n/a	n/a	n/a	n/a	right
