sub_id	onset	duration	trial_type	response_time	task_type	update_cond	cate_c	cate_b	cate_o	response_type	response	trial_id	run_id	word_id	img_id	stim_c	stim_b	design_onset	grate_orientation
13	2.021	3.000	forget	0.555	retrieval	restudy	scene	object	face	competitor	object	1	1	76	124	276	128	2.0	n/a
13	14.019	3.000	remember	0.459	retrieval	restudy	object	scene	face	target	object	2	1	126	78	178	230	14.0	n/a
13	26.018	3.000	no response	n/a	retrieval	restudy	face	object	scene	no response	no response	3	1	50	2	50	102	26.0	n/a
13	38.017	3.000	remember	0.317	retrieval	retprac	object	face	scene	target	object	4	1	3	51	151	3	38.0	n/a
13	50.016	3.000	remember	0.437	retrieval	restudy	scene	object	face	target	scene	5	1	78	126	278	130	50.0	n/a
13	62.014	3.000	remember	0.326	retrieval	retprac	face	scene	object	target	face	6	1	97	25	73	201	62.0	n/a
13	74.013	3.000	remember	0.327	retrieval	retprac	face	object	scene	target	face	7	1	49	1	49	101	74.0	n/a
13	86.012	3.000	forget	0.328	retrieval	retprac	object	scene	face	competitor	scene	8	1	127	79	179	231	86.0	n/a
13	98.011	3.000	forget	0.386	retrieval	restudy	scene	face	object	competitor	face	9	1	28	100	252	28	98.0	n/a
13	110.010	3.000	no response	n/a	retrieval	retprac	object	face	scene	no response	no response	10	1	7	55	155	7	110.0	n/a
13	122.008	3.000	remember	0.282	retrieval	restudy	scene	object	face	target	scene	11	1	74	122	274	126	122.0	n/a
13	134.007	3.000	remember	0.667	retrieval	restudy	face	object	scene	target	face	12	1	54	6	54	106	134.0	n/a
13	146.006	3.000	no response	n/a	retrieval	retprac	object	face	scene	no response	no response	13	1	5	53	153	5	146.0	n/a
13	158.021	3.000	remember	0.283	retrieval	retprac	face	object	scene	target	face	14	1	53	5	53	105	158.0	n/a
13	170.020	3.000	forget	0.301	retrieval	retprac	face	scene	object	other	object	15	1	103	31	79	207	170.0	n/a
13	182.019	3.000	remember	0.309	retrieval	retprac	face	scene	object	target	face	16	1	101	29	77	205	182.0	n/a
13	194.018	3.000	remember	0.589	retrieval	restudy	object	scene	face	target	object	17	1	122	74	174	226	194.0	n/a
13	206.017	3.000	remember	0.334	retrieval	retprac	scene	object	face	target	scene	18	1	73	121	273	125	206.0	n/a
13	218.015	3.000	forget	0.927	retrieval	retprac	face	object	scene	other	scene	19	1	51	3	51	103	218.0	n/a
13	230.014	3.000	forget	0.440	retrieval	retprac	face	scene	object	other	object	20	1	99	27	75	203	230.0	n/a
13	242.013	3.000	forget	0.753	retrieval	restudy	face	scene	object	other	object	21	1	98	26	74	202	242.0	n/a
13	254.012	3.000	remember	0.769	retrieval	restudy	scene	object	face	target	scene	22	1	80	128	280	132	254.0	n/a
13	266.010	3.000	forget	0.546	retrieval	retprac	scene	object	face	other	face	23	1	75	123	275	127	266.0	n/a
13	278.009	3.000	forget	0.667	retrieval	restudy	scene	face	object	other	object	24	1	26	98	250	26	278.0	n/a
13	290.008	3.000	forget	0.347	retrieval	restudy	face	object	scene	competitor	object	25	1	52	4	52	104	290.0	n/a
13	302.007	3.000	remember	0.524	retrieval	retprac	scene	face	object	target	scene	26	1	25	97	249	25	302.0	n/a
13	314.022	3.000	remember	0.964	retrieval	restudy	scene	face	object	target	scene	27	1	32	104	256	32	314.0	n/a
13	326.021	3.000	remember	0.341	retrieval	retprac	face	object	scene	target	face	28	1	55	7	55	107	326.0	n/a
13	338.020	3.000	remember	0.302	retrieval	restudy	face	object	scene	target	face	29	1	56	8	56	108	338.0	n/a
13	350.019	3.000	forget	0.311	retrieval	restudy	object	face	scene	other	scene	30	1	4	52	152	4	350.0	n/a
13	362.017	3.000	forget	0.759	retrieval	restudy	face	scene	object	other	object	31	1	104	32	80	208	362.0	n/a
13	374.016	3.000	no response	n/a	retrieval	restudy	object	scene	face	no response	no response	32	1	128	80	180	232	374.0	n/a
13	386.015	3.000	remember	0.376	retrieval	retprac	object	scene	face	target	object	33	1	123	75	175	227	386.0	n/a
13	398.014	3.000	forget	0.346	retrieval	retprac	object	face	scene	other	scene	34	1	1	49	149	1	398.0	n/a
13	410.012	3.000	remember	0.274	retrieval	restudy	face	scene	object	target	face	35	1	100	28	76	204	410.0	n/a
13	422.011	3.000	forget	0.955	retrieval	retprac	object	scene	face	other	face	36	1	121	73	173	225	422.0	n/a
13	434.010	3.000	no response	n/a	retrieval	restudy	object	face	scene	no response	no response	37	1	6	54	154	6	434.0	n/a
13	446.009	3.000	forget	0.308	retrieval	retprac	scene	face	object	other	object	38	1	27	99	251	27	446.0	n/a
13	458.007	3.000	forget	0.437	retrieval	restudy	face	scene	object	other	object	39	1	102	30	78	206	458.0	n/a
13	470.006	3.000	forget	0.285	retrieval	restudy	scene	face	object	other	object	40	1	30	102	254	30	470.0	n/a
13	482.022	3.000	remember	0.397	retrieval	retprac	scene	object	face	target	scene	41	1	79	127	279	131	482.0	n/a
13	494.021	3.000	forget	0.326	retrieval	restudy	object	scene	face	other	face	42	1	124	76	176	228	494.0	n/a
13	506.019	3.000	remember	0.807	retrieval	retprac	scene	object	face	target	scene	43	1	77	125	277	129	506.0	n/a
13	518.018	3.000	forget	0.432	retrieval	restudy	object	face	scene	competitor	face	44	1	8	56	156	8	518.0	n/a
13	530.017	3.000	remember	0.320	retrieval	retprac	object	scene	face	target	object	45	1	125	77	177	229	530.0	n/a
13	542.016	3.000	remember	0.937	retrieval	retprac	scene	face	object	target	scene	46	1	31	103	255	31	542.0	n/a
13	554.014	3.000	forget	0.322	retrieval	restudy	object	face	scene	competitor	face	47	1	2	50	150	2	554.0	n/a
13	566.013	3.000	forget	0.699	retrieval	retprac	scene	face	object	other	object	48	1	29	101	253	29	566.0	n/a
13	2.016	3.000	forget	0.552	retrieval	retprac	object	face	scene	competitor	face	1	2	9	57	157	9	2.0	n/a
13	14.015	3.000	forget	0.841	retrieval	restudy	face	object	scene	competitor	object	2	2	64	16	64	116	14.0	n/a
13	26.014	3.000	remember	0.505	retrieval	restudy	object	scene	face	target	object	3	2	134	86	186	238	26.0	n/a
13	38.012	3.000	no response	n/a	retrieval	retprac	scene	object	face	no response	no response	4	2	85	133	285	137	38.0	n/a
13	50.011	3.000	remember	0.226	retrieval	retprac	face	object	scene	target	face	5	2	61	13	61	113	50.0	n/a
13	62.010	3.000	forget	0.331	retrieval	restudy	face	scene	object	other	object	6	2	112	40	88	216	62.0	n/a
13	74.009	3.000	remember	0.299	retrieval	retprac	object	scene	face	target	object	7	2	133	85	185	237	74.0	n/a
13	86.007	3.000	remember	0.253	retrieval	retprac	face	object	scene	target	face	8	2	57	9	57	109	86.0	n/a
13	98.006	3.000	remember	0.333	retrieval	retprac	object	face	scene	target	object	9	2	15	63	163	15	98.0	n/a
13	110.022	3.000	remember	0.269	retrieval	restudy	scene	object	face	target	scene	10	2	84	132	284	136	110.0	n/a
