sub_id	onset	duration	trial_type	response_time	task_type	update_cond	cate_c	cate_b	cate_o	response_type	response	trial_id	run_id	word_id	img_id	stim_c	stim_b	design_onset	grate_orientation
2	2.017	3.000	forget	0.368	retrieval	restudy	object	face	scene	competitor	face	1	1	7	55	155	7	2.0	n/a
2	14.016	3.000	forget	0.281	retrieval	restudy	scene	face	object	competitor	face	2	1	27	99	251	27	14.0	n/a
2	26.015	3.000	forget	0.337	retrieval	restudy	object	face	scene	competitor	face	3	1	3	51	151	3	26.0	n/a
2	38.014	3.000	forget	0.234	retrieval	retprac	object	scene	face	other	face	4	1	126	78	178	230	38.0	n/a
2	50.013	3.000	remember	0.267	retrieval	restudy	object	scene	face	target	object	5	1	123	75	175	227	50.0	n/a
2	62.012	3.000	remember	0.228	retrieval	retprac	scene	object	face	target	scene	6	1	80	128	280	132	62.0	n/a
2	74.010	3.000	forget	0.284	retrieval	retprac	object	scene	face	competitor	scene	7	1	128	80	180	232	74.0	n/a
2	86.009	3.000	forget	0.461	retrieval	retprac	scene	object	face	competitor	object	8	1	78	126	278	130	86.0	n/a
2	98.008	3.000	remember	0.278	retrieval	restudy	face	scene	object	target	face	9	1	101	29	77	205	98.0	n/a
2	110.007	3.000	forget	0.367	retrieval	retprac	scene	face	object	competitor	face	10	1	26	98	250	26	110.0	n/a
2	122.006	3.000	remember	0.255	retrieval	restudy	scene	face	object	target	scene	11	1	25	97	249	25	122.0	n/a
2	134.022	3.000	remember	0.287	retrieval	restudy	face	object	scene	target	face	12	1	55	7	55	107	134.0	n/a
2	146.021	3.000	forget	0.360	retrieval	retprac	object	scene	face	competitor	scene	13	1	124	76	176	228	146.0	n/a
2	158.020	3.000	forget	0.298	retrieval	retprac	object	face	scene	competitor	face	14	1	2	50	150	2	158.0	n/a
2	170.019	3.000	forget	0.290	retrieval	retprac	face	object	scene	other	scene	15	1	54	6	54	106	170.0	n/a
2	182.017	3.000	forget	0.266	retrieval	retprac	scene	face	object	competitor	face	16	1	32	104	256	32	182.0	n/a
2	194.016	3.000	remember	0.275	retrieval	restudy	face	object	scene	target	face	17	1	53	5	53	105	194.0	n/a
2	206.015	3.000	forget	0.252	retrieval	retprac	scene	object	face	competitor	object	18	1	74	122	274	126	206.0	n/a
2	218.014	3.000	remember	0.317	retrieval	retprac	object	scene	face	target	object	19	1	122	74	174	226	218.0	n/a
2	230.013	3.000	forget	0.413	retrieval	retprac	scene	face	object	competitor	face	20	1	30	102	254	30	230.0	n/a
2	242.012	3.000	forget	0.366	retrieval	restudy	scene	face	object	competitor	face	21	1	31	103	255	31	242.0	n/a
2	254.011	3.000	forget	0.271	retrieval	restudy	object	scene	face	competitor	scene	22	1	127	79	179	231	254.0	n/a
2	266.010	3.000	forget	0.247	retrieval	retprac	face	object	scene	competitor	object	23	1	50	2	50	102	266.0	n/a
2	278.009	3.000	forget	0.344	retrieval	restudy	face	object	scene	other	scene	24	1	51	3	51	103	278.0	n/a
2	290.008	3.000	forget	0.425	retrieval	restudy	scene	face	object	competitor	face	25	1	29	101	253	29	290.0	n/a
2	302.007	3.000	remember	0.321	retrieval	retprac	object	face	scene	target	object	26	1	8	56	156	8	302.0	n/a
2	314.022	3.000	forget	0.378	retrieval	restudy	object	face	scene	competitor	face	27	1	1	49	149	1	314.0	n/a
2	326.021	3.000	forget	0.346	retrieval	retprac	object	face	scene	competitor	face	28	1	6	54	154	6	326.0	n/a
2	338.020	3.000	remember	0.275	retrieval	restudy	object	scene	face	target	object	29	1	121	73	173	225	338.0	n/a
2	350.019	3.000	remember	0.420	retrieval	restudy	scene	object	face	target	scene	30	1	73	121	273	125	350.0	n/a
2	362.018	3.000	forget	0.332	retrieval	restudy	face	scene	object	other	object	31	1	99	27	75	203	362.0	n/a
2	374.017	3.000	remember	0.309	retrieval	restudy	face	scene	object	target	face	32	1	97	25	73	201	374.0	n/a
2	386.016	3.000	forget	0.318	retrieval	retprac	face	object	scene	competitor	object	33	1	52	4	52	104	386.0	n/a
2	398.015	3.000	forget	0.399	retrieval	retprac	scene	object	face	competitor	object	34	1	76	124	276	128	398.0	n/a
